> select a.first_name, a.last_name, b.department_name from employees a left join departments b on a.department_id = b.department_id;
+-------------+-------------+------------------+
| first_name  | last_name   | department_name  |
| Kevin       | Mourgos     | Americas    |
| Julia       | Nayer       | Americas    |
| Irene       | Mikkilineni | Americas    |
| James       | Landry      | Americas    |
| Steven      | Markle      | Americas    |
| Laura       | Bissot      | Americas    |
| Mozhe       | Atkinson    | Americas    |
| James       | Marlow      | Americas    |
| TJ          | Olson       | Americas    |
| Jason       | Mallin      | Americas    |
| Michael     | Rogers      | Americas    |
| Ki          | Gee         | Americas    |
| Hazel       | Philtanker  | Americas    |
| Renske      | Ladwig      | Americas    |
| Stephen     | Stiles      | Americas    |
| John        | Seo         | Americas    |
| Joshua      | Patel       | Americas    |
| Trenna      | Rajs        | Americas    |
| Curtis      | Davies      | Americas    |
| Randall     | Matos       | Americas    |
| Peter       | Vargas      | Americas    |
| John        | Russell     | NULL        |
| Karen       | Partners    | NULL        |
| Alberto     | Errazuriz   | NULL        |
| Gerald      | Cambrault   | NULL        |
| Eleni       | Zlotkey     | NULL        |
| Peter       | Tucker      | NULL        |
| David       | Bernstein   | NULL        |
| Peter       | Hall        | NULL        |
| Christopher | Olsen       | NULL        |
| Nanette     | Cambrault   | NULL        |
| Oliver      | Tuvault     | NULL        |
| Janette     | King        | NULL        |
| Patrick     | Sully       | NULL        |
| Allan       | McEwen      | NULL        |
| Lindsey     | Smith       | NULL        |
| Louise      | Doran       | NULL        |
| Sarath      | Sewall      | NULL        |
| Clara       | Vishney     | NULL        |
| Danielle    | Greene      | NULL        |
| Mattea      | Marvins     | NULL        |
| David       | Lee         | NULL        |
| Sundar      | Ande        | NULL        |
| Amit        | Banda       | NULL        |
| Lisa        | Ozer        | NULL        |
| Harrison    | Bloom       | NULL        |
| Tayler      | Fox         | NULL        |
| William     | Smith       | NULL        |
| Elizabeth   | Bates       | NULL        |
| Sundita     | Kumar       | NULL        |
| Ellen       | Abel        | NULL        |
| Alyssa      | Hutton      | NULL        |
| Jonathon    | Taylor      | NULL        |
| Jack        | Livingston  | NULL        |
| Kimberely   | Grant       | NULL        |
| Charles     | Johnson     | NULL        |
| Winston     | Taylor      | Americas    |
| Jean        | Fleaur      | Americas    |
| Martha      | Sullivan    | Americas    |
| Girard      | Geoni       | Americas    |
| Nandita     | Sarchand    | Americas    |
| Alexis      | Bull        | Americas    |
| Julia       | Dellinger   | Americas    |
| Anthony     | Cabrio      | Americas    |
| Kelly       | Chung       | Americas    |
| Jennifer    | Dilly       | Americas    |
| Timothy     | Gates       | Americas    |
| Randall     | Perkins     | Americas    |
| Sarah       | Bell        | Americas    |
| Britney     | Everett     | Americas    |
| Samuel      | McCain      | Americas    |
| Vance       | Jones       | Americas    |
| Alana       | Walsh       | Americas    |
| Kevin       | Feeney      | Americas    |
| Donald      | OConnell    | Americas    |
| Douglas     | Grant       | Americas    |
| Jennifer    | Whalen      | Americas    |
| Michael     | Hartstein   | Americas    |
| Pat         | Fay         | Americas    |
| Susan       | Mavris      | Europe      |
| Hermann     | Baer        | Europe      |
| Shelley     | Higgins     | Americas    |
| William     | Gietz       | Americas    |
+-------------+-------------+-------------+
107 rows in set (0.0012 sec)


 select a.department_name, b.region_name from departments a left join locations c on a.location_id = c.location_id left join countries d on c.country_id = d.country_id left join regions b on b.region_id = d.region_id;
+----------------------+-------------+
| department_name      | region_name |
+----------------------+-------------+
| Administration       | Americas    |
| Marketing            | Americas    |
| Purchasing           | Americas    |
| Human Resources      | Europe      |
| Shipping             | Americas    |
| IT                   | Americas    |
| Public Relations     | Europe      |
| Sales                | NULL        |
| Executive            | Americas    |
| Finance              | Americas    |
| Accounting           | Americas    |
| Treasury             | Americas    |
| Corporate Tax        | Americas    |
| Control And Credit   | Americas    |
| Shareholder Services | Americas    |
| Benefits             | Americas    |
| Manufacturing        | Americas    |
| Construction         | Americas    |
| Contracting          | Americas    |
| Operations           | Americas    |
| IT Support           | Americas    |
| NOC                  | Americas    |
| IT Helpdesk          | Americas    |
| Government Sales     | Americas    |
| Retail Sales         | Americas    |
| Recruiting           | Americas    |
| Payroll              | Americas    |
+----------------------+-------
